H,1,HCP,0.470,0.470,0.340,6
He,2,FCC,0.4242,0.4242,0.4242,0
Li,3,BCC,0.35093,0.35093,0.35093,2
Be,4,HCP,0.22858,0.22858,0.3584,12
C,6,HCP,0.2464,0.2464,0.6711,24
N,7,HCP,0.3861,0.3861,0.3861,0.6265,18
Ne,10,FCC,0.4429,0.4429,0.4429,0
Na,11,BCC,0.42906,0.42906,0.42906,2
Mg,12,HCP,0.32094,0.32094,0.52108,12
Al,13,FCC,0.4049,0.4049,0.4049,12
Cl,17,ORC,0.62235,0.44561,0.81785,10
Ar,18,FCC,0.5256,0.5256,0.5256,0
K,19,BCC,0.5328,0.5328,0.5328,2
Ca,20,FCC,0.55884,0.55884,0.55884,8
Sc,21,HCP,0.3309,0.3309,0.52733,18
Ti,22,HCP,0.2951,0.2951,0.46855,24
V,23,BCC,0.303,0.303,0.303,10
Cr,24,BCC,0.291,0.291,0.291,12
Mn,25,BCC,0.89125,0.89125,0.89125,8
Fe,26,BCC,0.2866,0.2866,0.2866,6
Co,27,HCP,0.25071,0.25071,0.40695,24
Ni,28,FCC,0.3524,0.3524,0.3524,8
Cu,29,FCC,0.36149,0.36149,0.36149,8
Zn,30,HCP,0.26649,0.26649,0.26649,12
Ga,31,ORC,0.45191,0.76633,0.4526,6
Ge,32,FCC,0.56575,0.56575,0.56575,16
Br,35,ORC,0.67265,0.64651,0.87023,10
Kr,36,FCC,0.5706,0.5706,0.5706,8
Rb,37,BCC,0.5585,0.5585,0.5585,2
Sr,38,FCC,0.60849,0.60849,0.60849,8
Y,39,HCP,0.36474,0.36474,0.57306,18
Zr,40,HCP,0.3232,0.3232,0.5147,24
Nb,41,BCC,0.33004,033004,0.33004,10
Mo,42,BCC,0.3147,0.3147,0.3147,12
Tc,43,HCP,0.2735,0.2735,0.4388,36
Ru,44,HCP,0.27059,0.27059,0.27059,36
Rh,45,BCC,0.38038,0.38034,0.38034,24
Pd,46,FCC,0.38907,0.38907,0.38907,16
Ag,47,FCC,0.40853,0.40853,0.40853,4
Cd,48,HCP,0.29794,0.29794,0.56186,12
Xe,54,FCC,0.62023,0.62023,0.62023,0
Cs,55,BCC,0.6141,0.6141,0.6141,2
Ba,56,BCC,0.5028,0.5028,0.5028,4
La,57,HCP,0.3772,0.3772,1.2144,18
Ce,58,HCP,0.362,0.362,0.599,20
Pr,59,HCP,0.36725,0.36725,1.18354,20
Nd,60,HCP,0.3658,0.3658,1.1799,18
Eu,63,BCC,0.4581,0.4581,0.4581,6
Gd,64,HCP,0.3636,0.3636,0.57826,18
Tb,65,HCP,0.3601,0.3601,0.56936,18
Dy,66,HCP,0.3593,0.3593,0.56537,18
Ho,67,HCP,0.35773,0.35773,0.56158,18
Er,68,HCP,0.35588,0.35588,0.55874,18
Tm,69,HCP,0.35375,0.35375,0.55546,18
Yb,70,FCC,0.54847,0.54847,0.54847,12
Lu,71,HCP,0.35031,0.35031,0.55509,18
Hf,72,HCP,0.31964,0.31964,0.50511,24
Ta,73,BCC,0.33013,0.33013,0.33013,10
W,74,BCC,0.31652,0.31652,0.31652,12
Re,75,HCP,0.2761,0.2761,0.4456,42
Os,76,HCP,0.27344,0.27344,0.43173,36
Ir,77,FCC,0.3839,0.3839,0.3839,24
Pt,78,FCC,0.39242,0.39242,0.39242,24
Au,79,FCC,0.40782,0.40782,0.40782,20
Tl,81,HCP,0.34566,0.34566,0.55248,18
Pb,82,FCC,0.494,0.494,0.494,16
Po,84,SC,0.3359,0.3359,0.3359,6
Ra,88,BCC,0.5148,0.5148,0.5148,4
Ac,89,FCC,0.567,0.567,0.567,12
Th,90,FCC,0.50842,0.50842,0.50842,16
Am,95,HCP,0.34681,0.34681,1.1241,24
Cm,96,HCP,0.3496,0.3496,1.1331,24
Bk,97,HCP,0.3416,0.3416,0.3416,16
Cf,98,HCP,0.338,0.338,1.1025,24
